nemo_o_isin,clase_inversion,moneda,tasa_facial,ubicacion,clasificacion,riesgo,clase
BGLT30150549,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BGLT11150431,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BGLT12141135,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BGLT10220326,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BGLT32180141,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BGLT11020234,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BGLT30141153,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BGLT11220432,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BGLT10150329,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BGLT31180937,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BGLT30280133,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BGLT30150227,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BGLT11200433,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BBG00J3TFM33,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BBG0072K61F2,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BBG0000JLNZ5,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
US91282CLC37,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US912797LW51,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
Ñ96VU,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP KPS VI,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FCP GLENDOWER SOF VI,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
INSIGHT PARTNERS XIII,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FCP GTCR FUND XIV,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
NEW MOUNTAIN NMP VII,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
IE0004896431,Fondo Mutuo o Fondo Indice,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
US195325DR36,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US91282CLK52,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
XS2691771872,Notas estructuradas,COP,TASA FIJA,NACIONAL,Notas estructuradas,TASA FIJA,NOTAS ESTRUCTURADAS
US912797LD70,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US91282CLM19,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
